"Year" "Month" "TMax" "TMin" "PAR" "Prec" "CO2"
1800-2100 1 1.19337158319604 -9.33041386842297 258.349257573666 82.6187985283171 373.776045883941
1800-2100 2 2.833398300699 -7.70841434398397 332.207550605492 72.3575904635883 376.225424107143
1800-2100 3 6.511799845594 -4.81593373421299 444.629789976891 62.5648977402255 375.435571236559
1800-2100 4 6.36564011580305 -4.49476696250798 603.692622501265 65.7416407221122 373.100028571429
1800-2100 5 14.457010487656 2.47778118618101 615.352349234854 46.5561586547827 367.864536163522
1800-2100 6 19.166376137004 6.66719103179901 639.747442861407 26.534841790927 364.706124301676
1800-2100 7 21.22945726114 7.82718614747301 600.953739382831 5.14065269143047 363.068018867925
1800-2100 8 20.479542573412 7.93891800331704 545.643503657749 5.13628388562446 362.768790540541
1800-2100 9 17.882855110802 7.255666495669 453.281356726023 27.8600858699117 364.522421875
1800-2100 10 9.72076164112303 0.148910458936029 324.885996141427 74.7688807448253 368.891303763441
1800-2100 11 5.16646975339904 -3.71177833011598 300.133354533926 94.9295053380219 376.644359331476
1800-2100 12 2.63882674426901 -7.09204461160397 198.750523848829 97.4184194990294 372.913569321534
