"Year" "Month" "TMax" "TMin" "PAR" "Prec" "CO2"
1800-2100 1 8.54590431655504 -1.75063817906596 240.648966176337 69.8008982032459 373.776045883941
1800-2100 2 10.400274784729 0.0657255913239965 317.115969049419 62.4385027866236 376.225424107143
1800-2100 3 14.308455247471 3.13576537514103 410.4043469189 52.7195139186767 375.435571236559
1800-2100 4 14.115391180552 3.50000926122004 546.984869582914 56.2530875278872 373.100028571429
1800-2100 5 22.928413792247 10.876959862814 557.229725439914 39.6609548219948 367.864536163522
1800-2100 6 27.674955733894 15.221507630927 615.12574467045 22.1758634457828 364.706124301676
1800-2100 7 29.6855756168191 16.411119696359 592.586574991649 4.43500902788118 363.068018867925
1800-2100 8 28.8851354722131 16.617474761732 544.021132176631 4.24562696460616 362.768790540541
1800-2100 9 26.148594044447 15.739126175979 435.241144967764 22.7151902519868 364.522421875
1800-2100 10 17.15673050292 7.895150370669 283.673317825803 60.8915191635008 368.891303763441
1800-2100 11 12.571054516391 4.01908494233601 268.949200827198 76.4317092686545 376.644359331476
1800-2100 12 10.037367318733 0.550158831191027 186.917564455373 81.5551796836826 372.913569321534
