"Year" "Month" "TMax" "TMin" "PAR" "Prec" "CO2"
1800-2100 1 6.17696614028102 -4.28843712781099 244.485775357433 81.9567908174507 373.776045883941
1800-2100 2 8.03575382284305 -2.46975947821295 319.245051276116 74.0847398212474 376.225424107143
1800-2100 3 11.994583924949 0.594478226617014 417.215846375974 62.4854438360219 375.435571236559
1800-2100 4 11.688735627402 0.888208700246025 560.129545309899 66.2973501076681 373.100028571429
1800-2100 5 20.673289619177 8.34965030667604 569.045365061737 47.1604260232409 367.864536163522
1800-2100 6 25.347277955733 12.599115072045 620.057462201909 26.4679576811324 364.706124301676
1800-2100 7 27.318368251206 13.745692900398 593.67214157847 5.28034545160053 363.068018867925
1800-2100 8 26.461194693115 13.908656648319 543.592363711131 5.07314866903926 362.768790540541
1800-2100 9 23.814910857623 13.180381064789 438.144835739738 26.9418591042481 364.522421875
1800-2100 10 14.7448162786851 5.32231147467604 293.561180541428 71.7291723245603 368.891303763441
1800-2100 11 10.2067821260731 1.52416704002201 275.510141036159 90.0402591853919 376.644359331476
1800-2100 12 7.72192693594303 -1.91952662917896 188.145317537833 96.1815813024782 372.913569321534
